"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Afghanistan","2008","500100","Silk-worm cocoons suitable for reeling","Import","71600","10","Weight in kilograms","10"
"Albania","2013","500600","Silk yarn retail, silk worm gut","Import","14","16","Weight in kilograms","16"
"Albania","2013","500720","Woven fabric >85% silk (except noil silk)","Import","184516","2651","Weight in kilograms","2651"
"Albania","2013","500720","Woven fabric >85% silk (except noil silk)","Export","16331","625","Weight in kilograms","625"
"Albania","2013","500790","Woven fabric of silk, nes","Import","61659","718","Weight in kilograms","718"
"Albania","2012","500720","Woven fabric >85% silk (except noil silk)","Import","56950","437","Weight in kilograms","437"
"Albania","2012","500790","Woven fabric of silk, nes","Import","5475","90","Weight in kilograms","90"
"Albania","2011","500600","Silk yarn retail, silk worm gut","Import","52","0","Weight in kilograms","0"
"Albania","2011","500720","Woven fabric >85% silk (except noil silk)","Import","62152","1204","Weight in kilograms","1204"
"Albania","2011","500720","Woven fabric >85% silk (except noil silk)","Export","30639","686","Weight in kilograms","686"
"Albania","2011","500790","Woven fabric of silk, nes","Import","64095","1541","Weight in kilograms","1541"
"Albania","2010","500600","Silk yarn retail, silk worm gut","Import","739","180","Weight in kilograms","180"
"Albania","2010","500710","Woven fabric of noil silk","Import","76297","488","Weight in kilograms","488"
"Albania","2010","500720","Woven fabric >85% silk (except noil silk)","Import","46586","353","Weight in kilograms","353"
"Albania","2010","500790","Woven fabric of silk, nes","Import","111195","1227","Weight in kilograms","1227"
"Albania","2009","500400","Silk yarn (except from waste) not retail","Import","3947","106","Weight in kilograms","106"
"Albania","2009","500600","Silk yarn retail, silk worm gut","Import","5903","7","Weight in kilograms","7"
"Albania","2009","500720","Woven fabric >85% silk (except noil silk)","Import","10028","154","Weight in kilograms","154"
"Albania","2009","500790","Woven fabric of silk, nes","Import","26001","539","Weight in kilograms","539"
"Albania","2008","500100","Silk-worm cocoons suitable for reeling","Import","797","204","Weight in kilograms","204"
"Albania","2008","500400","Silk yarn (except from waste) not retail","Import","133707","3299","Weight in kilograms","3299"
"Albania","2008","500710","Woven fabric of noil silk","Import","36995","634","Weight in kilograms","634"
"Albania","2008","500720","Woven fabric >85% silk (except noil silk)","Import","22577","929","Weight in kilograms","929"
"Albania","2008","500790","Woven fabric of silk, nes","Import","57030","1568","Weight in kilograms","1568"
"Albania","2007","500100","Silk-worm cocoons suitable for reeling","Export","9985","14016","Weight in kilograms","14016"
"Albania","2007","500710","Woven fabric of noil silk","Import","7143","111","Weight in kilograms","111"
"Albania","2007","500720","Woven fabric >85% silk (except noil silk)","Import","17039","196","Weight in kilograms","196"
"Albania","2007","500790","Woven fabric of silk, nes","Import","69185","893","Weight in kilograms","893"
"Albania","2006","500100","Silk-worm cocoons suitable for reeling","Import","28","10","Weight in kilograms","10"
"Albania","2006","500100","Silk-worm cocoons suitable for reeling","Export","16216","25069","Weight in kilograms","25069"
"Albania","2006","500100","Silk-worm cocoons suitable for reeling","Re-Export","16216","25069","Weight in kilograms","25069"
"Albania","2006","500400","Silk yarn (except from waste) not retail","Import","5301","2918","Weight in kilograms","2918"
"Albania","2006","500400","Silk yarn (except from waste) not retail","Re-Import","920","49","Weight in kilograms","49"
"Albania","2006","500720","Woven fabric >85% silk (except noil silk)","Import","2580","73","Weight in kilograms","73"
"Albania","2006","500790","Woven fabric of silk, nes","Import","8647","1607","Weight in kilograms","1607"
"Albania","2006","500790","Woven fabric of silk, nes","Re-Import","6040","1461","Weight in kilograms","1461"
"Albania","2005","500100","Silk-worm cocoons suitable for reeling","Import","18927","1111","Weight in kilograms","1111"
"Albania","2005","500400","Silk yarn (except from waste) not retail","Import","302","321","Weight in kilograms","321"
"Albania","2005","500400","Silk yarn (except from waste) not retail","Export","47537","12650","Weight in kilograms","12650"
"Albania","2005","500400","Silk yarn (except from waste) not retail","Re-Export","47537","12650","Weight in kilograms","12650"
"Albania","2005","500500","Yarn spun from silk waste, not retail","Import","12836","352","Weight in kilograms","352"
"Albania","2005","500720","Woven fabric >85% silk (except noil silk)","Import","3102","141","Weight in kilograms","141"
"Albania","2005","500790","Woven fabric of silk, nes","Import","21464","1553","Weight in kilograms","1553"
"Albania","2004","500100","Silk-worm cocoons suitable for reeling","Import","42573","23220","Weight in kilograms","23220"
"Albania","2004","500100","Silk-worm cocoons suitable for reeling","Export","21993","20917","Weight in kilograms","20917"
"Albania","2004","500200","Raw silk (not thrown)","Import","124","26","Weight in kilograms","26"
"Albania","2004","500200","Raw silk (not thrown)","Export","330","11300","Weight in kilograms","11300"
"Albania","2004","500310","Silk waste, not carded or combed","Import","98","46","Weight in kilograms","46"
"Albania","2004","500400","Silk yarn (except from waste) not retail","Import","30139","4840","Weight in kilograms","4840"
"Albania","2004","500400","Silk yarn (except from waste) not retail","Export","40407","2183","Weight in kilograms","2183"
"Albania","2004","500710","Woven fabric of noil silk","Import","1620","20","Weight in kilograms","20"
"Albania","2004","500720","Woven fabric >85% silk (except noil silk)","Import","10239","127","Weight in kilograms","127"
"Albania","2004","500790","Woven fabric of silk, nes","Import","22644","1929","Weight in kilograms","1929"
"Albania","2003","500310","Silk waste, not carded or combed","Import","186","11538","Weight in kilograms","11538"
"Albania","2003","500400","Silk yarn (except from waste) not retail","Import","863","34","Weight in kilograms","34"
"Albania","2003","500710","Woven fabric of noil silk","Import","77170","1492","Weight in kilograms","1492"
"Albania","2003","500720","Woven fabric >85% silk (except noil silk)","Import","1390","17","Weight in kilograms","17"
