year,COUNTRY,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2002,Mexico,9981.9,10022.5,11054.8,11471.3,11928.5,11311.3,11292.7,11854,11409.2,12657.9,11483.8,10148.1,134616,7734,7249.8,7624.1,8257.5,8530.3,8087.9,7962.9,8559.4,8282.8,9220.8,8606.4,7354.2,97470.1
2003,Mexico,10830.47187,10957.74635,11782.87358,11154.76735,11494.69517,11419.77025,11124.66027,11402.97121,11816.92578,12965.72172,11692.45408,11416.93304,138059.9907,7780.125509,7092.816796,7804.89911,7815.550301,8082.311874,8011.631939,7904.262307,7941.380261,8533.646342,9519.700336,8621.338834,8304.129738,97411.79335
2004,Mexico,11200.69738,11709.18403,13593.84026,12575.91996,13049.68255,13849.9574,12213.05519,13278.74049,13520.8592,14475.08571,13908.86172,12525.637,155901.5209,8083.980602,8073.430804,9712.127218,9341.879476,9216.334992,9171.667476,8744.412244,9493.692831,9616.555216,10076.31934,9977.176542,9223.708134,110731.2849
2001,United Kingdom,3856.5,3546.6,3634,3685.4,3567.4,3326.7,3549.7,3171.7,2746.8,3918.9,3475.9,2889.1,41368.7,3373.5,3486.2,3700.4,3719.1,4036.4,3824.3,3087.2,3252.2,3156.5,3190.2,2935.9,2952.3,40714.2
2002,United Kingdom,3046.1,2860.1,3253.1,3702.2,3587.5,3326.9,3766.9,3371.8,3256.7,3722.5,3506.7,3344.4,40744.9,2764.1,2771.1,2984.7,2957.1,2701.8,2966.1,2455.9,2914.3,2643.2,2903.8,2618.6,2524,33204.7
2003,United Kingdom,3002.737444,3492.789142,3728.710272,3514.941737,3559.271875,3525.060748,3711.084252,3170.981907,3646.457934,4136.406,3430.399386,3876.116756,42794.95745,2670.188542,2781.404611,3299.885233,2729.086091,2939.370561,2948.685766,2655.362686,2817.813686,2577.329911,2820.900215,2806.060808,2781.841532,33827.92964
2004,United Kingdom,3203.083405,3494.846395,4233.536043,4167.856732,3890.462913,3959.645932,3759.707155,3455.804808,3496.060575,4062.028557,4195.664242,4355.126615,46273.82337,2802.919536,2872.759225,3384.191631,3044.574516,3126.569839,2886.904367,2856.310974,2925.468952,2903.90205,3051.183986,3016.970224,3029.902938,35901.65824
2001,Germany,4875,4846,5344.8,5377.7,5219.3,4783.2,5422.7,5055.2,4147.3,5037.2,4581.6,4386.6,59076.6,2546.3,2928.4,2892.4,2507.6,2604.5,2431.7,2443.4,2389.2,2255.1,2370.8,2173.1,2452.9,29995.4
2002,Germany,4194.7,4635.7,5254.7,5184.6,4900.2,4619.5,5796.1,5107.5,4913.8,5992.8,5750.4,6155.7,62505.7,2021.9,2182.8,2530.3,2133,2084.1,2197.3,1990.1,2147.2,2327.8,2402.1,2419,2194,26629.6
2003,Germany,4876.693261,4860.335555,6270.959356,5942.560333,5883.183333,5736.440853,5784.759572,5134.964676,5015.483806,6060.043764,6046.034317,6501.233016,68112.69184,2159.991818,2426.404305,2803.263752,2476.511198,2489.896204,2261.732622,2210.337047,2314.784508,2190.670705,2658.689897,2469.708875,2369.875622,28831.86655
2004,Germany,5013.050661,5988.41995,6790.87094,6621.267579,6615.669059,6064.470385,6705.07479,6487.760081,5994.41381,7033.890877,6958.679918,6992.006274,77265.57432,2309.694514,2502.728532,2838.22635,2557.665602,2723.494953,2492.467359,2420.516842,2618.350453,2779.713443,2862.241139,2572.927966,2737.854404,31415.88156
2001,France,2524.9,2343.6,3309.3,2733.9,2611.6,2303.4,2628.5,2363.7,1872.9,2714.4,2469.3,2532.5,30408,1641.5,1972.3,2042,1609.5,1686.6,1749.1,1232.6,1404,1613,1699.9,1643.8,1570.2,19864.5
2002,France,2283.6,2184,2465.4,2575.5,2043.4,2311.4,2686.6,2200.9,2166.3,2525.6,2274.9,2522.5,28240.1,1543,1872.3,1801.4,1577.6,1570,1532,1249.4,1287.3,1502.5,1992.6,1703.7,1384.1,19015.9
2003,France,2354.303713,2215.150117,2329.247385,2423.690355,2236.646503,2461.387587,2524.293917,2278.344695,2346.853276,2617.324426,2551.247091,2880.790657,29219.27972,1369.27554,1313.799694,1717.191861,1567.514362,1457.704012,1520.799816,1192.841198,1265.317788,1331.125269,1438.914934,1418.181644,1460.359432,17053.02555
2004,France,2258.015912,2160.78964,2732.283734,2541.938636,2407.082536,2679.726773,2558.208312,2470.816654,2645.583512,3151.835534,2959.535201,3039.922141,31605.73859,1484.417538,1580.944109,2112.171749,1740.713538,1826.480915,1771.646989,1407.324005,1470.98305,1730.881262,1998.199996,1876.342894,1917.641057,20917.7471
2001,"Korea, South",3514.3,2810.7,3125.4,2824.2,2757.7,2860.7,2843.8,2753.6,2782,3159,3010.2,2739.9,35181.5,2149.7,2024.9,2217.4,1626.8,1691.8,1782.8,1773.7,1746.9,2000.3,1532.3,1858.3,1775.8,22180.7
2002,"Korea, South",2755.5,2539,2940.1,3020.7,3075.3,2748.1,2930.9,2882.3,3068,3046.7,3410.3,3154.8,35571.7,1706.1,1486.9,1877,1930.8,1990.7,1975.3,1889.5,1918.7,1974.3,1982.3,1799.9,2044.2,22575.7
2003,"Korea, South",2860.887093,2643.098611,2896.731631,3342.224151,2750.907255,3070.376913,3241.029401,2775.855335,3022.534533,3674.449386,3396.750641,3554.559205,37229.40416,1726.082787,2162.080948,2181.46925,1919.400977,1824.79581,2114.804488,1949.047662,1859.876454,1885.387265,2111.332531,2199.252209,2139.054533,24072.58491
2004,"Korea, South",3364.651334,3085.627999,3741.914842,3651.88355,4039.596189,4090.051954,3828.806788,3802.805902,4392.583165,4095.815786,4316.950348,3757.249217,46167.93707,1831.414533,2228.957703,2350.353704,1970.948963,2415.214906,2116.776893,2170.850091,2312.384949,2253.56208,2090.468199,2025.143929,2420.660055,26186.73601
2001,China,8427.5,6375.6,7590.2,7686.8,7757.9,8398.2,8975.3,10042.9,9927.8,10808.3,8878.8,7409.1,102278.4,1187.5,1289.8,1855.8,1398.9,1596,1786.4,1487,1929.7,1427.8,1647.7,1674.5,1901.2,19182.3
