year,COUNTRY,I_1,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2003,China,11403.49758,152436.0969,2069.831893,2048.670815,2423.104708,2121.94668,1984.318683,2119.621137,2067.405578,2034.428227,2090.976796,2778.336455,3319.692649,3309.609238,28367.94286
2004,China,14089.0155,196682.0339,2620.489793,2928.991616,3361.910701,2734.55386,2835.052068,2764.217124,2618.793915,2620.970808,2823.070552,2946.743822,2938.175371,3234.802826,34427.77246
2001,Singapore,1499.3,15000,1434.4,1541.4,1689.1,1232.9,1550.2,1452.7,1434.2,1370,1523.1,1765.8,1475.2,1182.8,17651.8
2002,Singapore,1198.7,14802.3,1385.8,1069.1,1704.8,1329.1,1234.8,1538.2,1322.5,1600.4,1133,1582.9,1302.4,1014.8,16217.8
2003,Singapore,1420.845862,15137.74674,1069.152461,1425.38967,1565.553639,1146.102591,1312.044887,1340.535391,1598.598486,1846.576521,1258.428672,1449.64287,1262.245404,1285.904331,16560.17492
2004,Singapore,1147.546653,15370.37944,1231.444194,1389.16339,1899.522147,1670.379666,1856.54708,1741.594449,1743.881517,1913.361295,1686.90245,1541.050232,1308.799766,1414.72696,19397.37315
2001,Taiwan,3069,33374.3,1812.8,1772.2,1702.9,1664,1432.8,1364.8,1513.1,1362.1,1379.7,1365.1,1413.7,1338.5,18121.7
2002,Taiwan,2485.6,32147.9,1223.8,1151.7,1573.2,1515.8,1537.7,1760.3,2065.5,1614,1588.3,1503.9,1422.5,1425,18381.7
2003,Taiwan,2717.274454,31599.42782,1322.167742,1162.874718,1334.803178,1239.51817,1198.882136,1558.678571,1603.821319,1537.944286,1391.336167,1632.627693,1503.680163,1961.549342,17447.88349
2004,Taiwan,2614.909966,34623.58288,1519.542159,1651.160162,2023.414374,1685.906165,1878.925824,1861.914699,1698.463461,1634.535304,1858.726357,1931.19227,1636.439573,2204.975535,21585.19588
2001,Netherlands,835.3,9515.2,1808.5,1820.7,1912.1,1756.3,1593.7,1627.1,1289.9,1530.3,1363.1,1500.9,1614.2,1668,19484.8
2002,Netherlands,679.2,9848.4,1460.4,1480.1,1709.8,1714.4,1592.9,1531.2,1353.1,1513.9,1504.5,1475.6,1490.4,1484.4,18310.7
2003,Netherlands,882.690561,10952.8261,1529.24688,1549.984337,1861.334493,1816.125209,1590.004788,1666.735782,1523.610593,1610.351088,1585.789051,2031.222185,2081.017375,1849.587517,20695.0093
