"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2007","780600","Articles of lead nes","Import","9686","1808","Weight in kilograms","1808"
"Albania","2006","780110","Lead refined unwrought","Import","9234","1575","Weight in kilograms","1575"
"Albania","2006","780199","Lead unwrought nes","Import","2394","312","Weight in kilograms","312"
"Albania","2006","780199","Lead unwrought nes","Export","76357","57026","Weight in kilograms","57026"
"Albania","2006","780200","Lead waste or scrap","Import","50125","57390","Weight in kilograms","57390"
"Albania","2006","780200","Lead waste or scrap","Export","870383","571201","Weight in kilograms","571201"
"Albania","2006","780200","Lead waste or scrap","Re-Import","26198","34290","Weight in kilograms","34290"
"Albania","2006","780300","Lead bars, rods, profiles and wire","Export","593668","470778","Weight in kilograms","470778"
"Albania","2006","780411","Lead foil of a thickness <2mm","Import","2574","3350","Weight in kilograms","3350"
"Albania","2006","780419","Lead plates, sheet, strip","Import","42514","22547","Weight in kilograms","22547"
"Albania","2006","780419","Lead plates, sheet, strip","Export","245512","202881","Weight in kilograms","202881"
"Albania","2006","780419","Lead plates, sheet, strip","Re-Import","13530","9020","Weight in kilograms","9020"
"Albania","2006","780600","Articles of lead nes","Import","12270","28664","Weight in kilograms","28664"
"Albania","2005","780110","Lead refined unwrought","Import","5500","4006","Weight in kilograms","4006"
"Albania","2005","780110","Lead refined unwrought","Export","8115","9233","Weight in kilograms","9233"
"Albania","2005","780199","Lead unwrought nes","Import","57","50","Weight in kilograms","50"
"Albania","2005","780199","Lead unwrought nes","Export","49181","53303","Weight in kilograms","53303"
"Albania","2005","780199","Lead unwrought nes","Re-Export","23532","25808","Weight in kilograms","25808"
"Albania","2005","780200","Lead waste or scrap","Import","11619","22480","Weight in kilograms","22480"
"Albania","2005","780200","Lead waste or scrap","Export","587031","568010","Weight in kilograms","568010"
"Albania","2005","780300","Lead bars, rods, profiles and wire","Import","631","46","Weight in kilograms","46"
"Albania","2005","780300","Lead bars, rods, profiles and wire","Export","159721","182720","Weight in kilograms","182720"
"Albania","2005","780419","Lead plates, sheet, strip","Import","18151","16260","Weight in kilograms","16260"
"Albania","2005","780419","Lead plates, sheet, strip","Export","75002","79267","Weight in kilograms","79267"
