"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Afghanistan","2012","999999","Commodities not specified according to kind","Import","4014217965","","No Quantity",""
"Afghanistan","2012","999999","Commodities not specified according to kind","Export","280340061","","No Quantity",""
"Afghanistan","2011","999999","Commodities not specified according to kind","Import","2377427103","","No Quantity",""
"Afghanistan","2011","999999","Commodities not specified according to kind","Export","126105183","","No Quantity",""
"Afghanistan","2010","999999","Commodities not specified according to kind","Export","113763859","","No Quantity",""
"Afghanistan","2010","999999","Commodities not specified according to kind","Import","2375227406","","No Quantity",""
"Afghanistan","2009","999999","Commodities not specified according to kind","Import","1374726652","","No Quantity",""
"Afghanistan","2009","999999","Commodities not specified according to kind","Export","78992676","","No Quantity",""
"Afghanistan","2008","999999","Commodities not specified according to kind","Import","1484703857","","No Quantity",""
"Afghanistan","2008","999999","Commodities not specified according to kind","Export","42262075","","No Quantity",""
"Albania","2013","999999","Commodities not specified according to kind","Import","2264987","","No Quantity",""
"Albania","2013","999999","Commodities not specified according to kind","Export","1522947","","No Quantity",""
"Albania","2012","999999","Commodities not specified according to kind","Import","3528790","","No Quantity",""
"Albania","2012","999999","Commodities not specified according to kind","Export","4461864","","No Quantity",""
"Albania","2011","999999","Commodities not specified according to kind","Import","3110844","","No Quantity",""
"Albania","2011","999999","Commodities not specified according to kind","Export","1920566","","No Quantity",""
"Albania","2010","999999","Commodities not specified according to kind","Import","2701663","","No Quantity",""
"Albania","2010","999999","Commodities not specified according to kind","Export","3225502","","No Quantity",""
"Albania","2009","999999","Commodities not specified according to kind","Import","2817184","","No Quantity",""
"Albania","2009","999999","Commodities not specified according to kind","Export","458590","","No Quantity",""
"Albania","2008","999999","Commodities not specified according to kind","Import","43694728","","No Quantity",""
"Albania","2008","999999","Commodities not specified according to kind","Export","2824254","","No Quantity",""
"Albania","2008","999999","Commodities not specified according to kind","Re-Export","2200500","","No Quantity",""
"Albania","2006","999999","Commodities not specified according to kind","Import","7824","","No Quantity",""
"Albania","2005","999999","Commodities not specified according to kind","Import","18724","","No Quantity",""
"Albania","2004","999999","Commodities not specified according to kind","Import","7465","","No Quantity",""
"Albania","2003","999999","Commodities not specified according to kind","Import","65499","","No Quantity",""
"Albania","2002","999999","Commodities not specified according to kind","Import","30606","","No Quantity",""
"Albania","2002","999999","Commodities not specified according to kind","Export","733","","No Quantity",""
"Albania","2001","999999","Commodities not specified according to kind","Import","96363","","No Quantity",""
"Albania","2000","999999","Commodities not specified according to kind","Import","61494","","No Quantity",""
"Algeria","2013","999999","Commodities not specified according to kind","Import","405","","No Quantity",""
"Algeria","2012","999999","Commodities not specified according to kind","Import","28611","","No Quantity",""
"Algeria","2008","999999","Commodities not specified according to kind","Import","593375","","No Quantity",""
"Algeria","2007","999999","Commodities not specified according to kind","Import","14939824","","No Quantity",""
"Algeria","2007","999999","Commodities not specified according to kind","Export","198013","","No Quantity",""
"Algeria","2006","999999","Commodities not specified according to kind","Import","1326733","","No Quantity",""
"Algeria","2006","999999","Commodities not specified according to kind","Export","42774","","No Quantity",""
"Algeria","2005","999999","Commodities not specified according to kind","Import","483396","","No Quantity",""
"Algeria","2005","999999","Commodities not specified according to kind","Export","8591","","No Quantity",""
"Algeria","2004","999999","Commodities not specified according to kind","Import","316943","","No Quantity",""
"Algeria","2004","999999","Commodities not specified according to kind","Export","833","","No Quantity",""
"Algeria","2003","999999","Commodities not specified according to kind","Export","532","","No Quantity",""
"Algeria","1998","9999AA","Commodities not specified according to kind","Import","2640622","0","No Quantity","0"
"Algeria","1998","9999AA","Commodities not specified according to kind","Export","163022","0","No Quantity","0"
"Algeria","1997","9999AA","Commodities not specified according to kind","Import","4686348","0","No Quantity","0"
"Algeria","1997","9999AA","Commodities not specified according to kind","Export","491509","0","No Quantity","0"
