"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2013","800300","Tin bars, rods, profiles and wire","Import","22896","1150","Weight in kilograms","1150"
"Albania","2013","800700","Tin articles nes","Import","242","6","Weight in kilograms","6"
"Albania","2012","800110","Tin not alloyed unwrought","Import","377","190","Weight in kilograms","190"
"Albania","2012","800200","Tin waste or scrap","Import","320","200","Weight in kilograms","200"
"Albania","2012","800300","Tin bars, rods, profiles and wire","Import","5710","399","Weight in kilograms","399"
"Albania","2012","800700","Tin articles nes","Import","678","31","Weight in kilograms","31"
"Albania","2011","800110","Tin not alloyed unwrought","Import","103","80","Weight in kilograms","80"
"Albania","2011","800120","Tin alloys unwrought","Import","4399","218","Weight in kilograms","218"
"Albania","2011","800200","Tin waste or scrap","Import","343","46","Weight in kilograms","46"
"Albania","2011","800300","Tin bars, rods, profiles and wire","Import","17626","1092","Weight in kilograms","1092"
"Albania","2011","800700","Tin articles nes","Import","12809","350","Weight in kilograms","350"
"Albania","2010","800110","Tin not alloyed unwrought","Import","201","6","Weight in kilograms","6"
"Albania","2010","800120","Tin alloys unwrought","Import","665","17","Weight in kilograms","17"
"Albania","2010","800300","Tin bars, rods, profiles and wire","Import","17298","2048","Weight in kilograms","2048"
"Albania","2010","800700","Tin articles nes","Import","141","31","Weight in kilograms","31"
"Albania","2009","800110","Tin not alloyed unwrought","Import","13885","1002","Weight in kilograms","1002"
"Albania","2009","800120","Tin alloys unwrought","Import","734","63","Weight in kilograms","63"
"Albania","2009","800200","Tin waste or scrap","Import","120","5","Weight in kilograms","5"
"Albania","2009","800300","Tin bars, rods, profiles and wire","Import","13193","2139","Weight in kilograms","2139"
"Albania","2009","800700","Tin articles nes","Import","118","12","Weight in kilograms","12"
"Albania","2008","800110","Tin not alloyed unwrought","Import","15470","820","Weight in kilograms","820"
"Albania","2008","800120","Tin alloys unwrought","Import","156","105","Weight in kilograms","105"
"Albania","2008","800200","Tin waste or scrap","Import","421","73","Weight in kilograms","73"
"Albania","2008","800300","Tin bars, rods, profiles and wire","Import","22516","2649","Weight in kilograms","2649"
"Albania","2008","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Import","8827","4528","Weight in kilograms","4528"
"Albania","2007","800110","Tin not alloyed unwrought","Import","479","20","Weight in kilograms","20"
"Albania","2007","800120","Tin alloys unwrought","Import","832","212","Weight in kilograms","212"
"Albania","2007","800200","Tin waste or scrap","Import","423","13","Weight in kilograms","13"
"Albania","2007","800300","Tin bars, rods, profiles and wire","Import","18916","2961","Weight in kilograms","2961"
"Albania","2007","800600","Tin pipes or tubes and pipe fittings","Import","3983","3320","Weight in kilograms","3320"
"Albania","2007","800700","Tin articles nes","Import","199","33","Weight in kilograms","33"
"Albania","2006","800110","Tin not alloyed unwrought","Import","737","135","Weight in kilograms","135"
"Albania","2006","800120","Tin alloys unwrought","Import","221","10","Weight in kilograms","10"
"Albania","2006","800200","Tin waste or scrap","Import","30","19","Weight in kilograms","19"
"Albania","2006","800300","Tin bars, rods, profiles and wire","Import","15005","5863","Weight in kilograms","5863"
"Albania","2006","800300","Tin bars, rods, profiles and wire","Re-Import","1385","90","Weight in kilograms","90"
"Albania","2006","800700","Tin articles nes","Import","152","42","Weight in kilograms","42"
"Albania","2005","800110","Tin not alloyed unwrought","Import","909","357","Weight in kilograms","357"
"Albania","2005","800200","Tin waste or scrap","Import","227","119","Weight in kilograms","119"
"Albania","2005","800300","Tin bars, rods, profiles and wire","Import","15727","4447","Weight in kilograms","4447"
"Albania","2005","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Export","10760","26150","Weight in kilograms","26150"
"Albania","2005","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Re-Export","10760","26150","Weight in kilograms","26150"
"Albania","2005","800600","Tin pipes or tubes and pipe fittings","Import","93","4","Weight in kilograms","4"
